FEN,Evaluation,eval,
r4rk1/pp3ppp/2pbpn2/q7/3P2b1/1P3NP1/PBP2PBP/R2Q1RK1 w - - 3 12,49,0.196,
r4rk1/pp3ppp/2pbpn2/q7/3P2b1/1P3NPP/PBP2PB1/R2Q1RK1 b - - 0 12,0,0,
r4rk1/pp3ppp/2pbpn2/q6b/3P4/1P3NPP/PBP2PB1/R2Q1RK1 w - - 1 13,66,0.264,
r4rk1/pp3ppp/2pbpn2/q6b/3P4/1P3NPP/PBP2PB1/R1Q2RK1 b - - 2 13,38,0.152,
3r1rk1/pp3ppp/2pbpn2/q6b/3P4/1P3NPP/PBP2PB1/R1Q2RK1 w - - 3 14,72,0.288,
3r1rk1/pp3ppp/2pbpn2/q3N2b/3P4/1P4PP/PBP2PB1/R1Q2RK1 b - - 4 14,27,0.108,
3r1rk1/ppq2ppp/2pbpn2/4N2b/3P4/1P4PP/PBP2PB1/R1Q2RK1 w - - 5 15,106,0.424,
3r1rk1/ppq2ppp/2pbpn2/4N2b/3P4/1P4PP/PBP2PB1/R1Q1R1K1 b - - 6 15,48,0.192,
3r1rk1/ppq2ppp/2pbpnb1/4N3/3P4/1P4PP/PBP2PB1/R1Q1R1K1 w - - 7 16,100,0.4,
3r1rk1/ppq2ppp/2pbpnN1/8/3P4/1P4PP/PBP2PB1/R1Q1R1K1 b - - 0 16,0,0,
3r1rk1/ppq2pp1/2pbpnp1/8/3P4/1P4PP/PBP2PB1/R1Q1R1K1 w - - 0 17,30,0.12,
3r1rk1/ppq2pp1/2pbpnp1/8/2PP4/1P4PP/PB3PB1/R1Q1R1K1 b - - 0 17,0,0,
5rk1/ppqr1pp1/2pbpnp1/8/2PP4/1P4PP/PB3PB1/R1Q1R1K1 w - - 1 18,70,0.28,
5rk1/ppqr1pp1/2pbpnp1/8/2PP4/1P2Q1PP/PB3PB1/R3R1K1 b - - 2 18,0,0,
3r2k1/ppqr1pp1/2pbpnp1/8/2PP4/1P2Q1PP/PB3PB1/R3R1K1 w - - 3 19,76,0.304,
3r2k1/ppqr1pp1/2pbpnp1/8/2PP4/1P2Q1PP/PB3PB1/2R1R1K1 b - - 4 19,13,0.052,
3r2k1/pp1r1pp1/2pbpnp1/q7/2PP4/1P2Q1PP/PB3PB1/2R1R1K1 w - - 5 20,21,0.084,
3r2k1/pp1r1pp1/2pbpnp1/q7/2PP4/PP2Q1PP/1B3PB1/2R1R1K1 b - - 0 20,0,0,
3r1bk1/pp1r1pp1/2p1pnp1/q7/2PP4/PP2Q1PP/1B3PB1/2R1R1K1 w - - 1 21,46,0.184,
3r1bk1/pp1r1pp1/2p1pnp1/q7/1PPP4/P3Q1PP/1B3PB1/2R1R1K1 b - - 0 21,0,0,
3r1bk1/pp1r1pp1/1qp1pnp1/8/1PPP4/P3Q1PP/1B3PB1/2R1R1K1 w - - 1 22,81,0.324,
3r1bk1/pp1r1pp1/1qp1pnp1/8/1PPP4/P3Q1PP/1B3PB1/1R2R1K1 b - - 2 22,10,0.04,
3r1bk1/ppqr1pp1/2p1pnp1/8/1PPP4/P3Q1PP/1B3PB1/1R2R1K1 w - - 3 23,99,0.396,
3r1bk1/ppqr1pp1/2p1pnp1/8/1PPP4/P3Q1PP/5PB1/BR2R1K1 b - - 4 23,22,0.088,
3r1bk1/1pqr1pp1/2p1pnp1/p7/1PPP4/P3Q1PP/5PB1/BR2R1K1 w - - 0 24,42,0.168,
3r1bk1/1pqr1pp1/2p1pnp1/p7/1PPP4/PQ4PP/5PB1/BR2R1K1 b - - 1 24,-30,-0.12,
r4bk1/1pqr1pp1/2p1pnp1/p7/1PPP4/PQ4PP/5PB1/BR2R1K1 w - - 2 25,82,0.328,
r4bk1/1pqr1pp1/2p1pnp1/p7/1PPP4/PQB3PP/5PB1/1R2R1K1 b - - 3 25,-16,-0.064,
r4bk1/1pqr1pp1/2p1pnp1/8/1pPP4/PQB3PP/5PB1/1R2R1K1 w - - 0 26,73,0.292,
r4bk1/1pqr1pp1/2p1pnp1/8/1PPP4/1QB3PP/5PB1/1R2R1K1 b - - 0 26,-13,-0.052,
r2r1bk1/1pq2pp1/2p1pnp1/8/1PPP4/1QB3PP/5PB1/1R2R1K1 w - - 1 27,80,0.32,
r2r1bk1/1pq2pp1/2p1pnp1/8/1PPP4/1Q4PP/1B3PB1/1R2R1K1 b - - 2 27,3,0.012,
rr3bk1/1pq2pp1/2p1pnp1/8/1PPP4/1Q4PP/1B3PB1/1R2R1K1 w - - 3 28,131,0.524,
rr3bk1/1pq2pp1/2p1pnp1/1P6/2PP4/1Q4PP/1B3PB1/1R2R1K1 b - - 0 28,99,0.396,
rr3bk1/1p1q1pp1/2p1pnp1/1P6/2PP4/1Q4PP/1B3PB1/1R2R1K1 w - - 1 29,88,0.352,
rr3bk1/1p1q1pp1/2P1pnp1/8/2PP4/1Q4PP/1B3PB1/1R2R1K1 b - - 0 29,19,0.076,
rr3bk1/3q1pp1/2p1pnp1/8/2PP4/1Q4PP/1B3PB1/1R2R1K1 w - - 0 30,67,0.268,
rr3bk1/3q1pp1/2p1pnp1/8/2PP4/5QPP/1B3PB1/1R2R1K1 b - - 1 30,7,0.028,
1r3bk1/3q1pp1/2p1pnp1/8/2PP4/5QPP/rB3PB1/1R2R1K1 w - - 2 31,75,0.3,
1r3bk1/3q1pp1/2p1pnp1/8/2PP4/5QPP/r4PB1/BR2R1K1 b - - 3 31,0,0,
5bk1/3q1pp1/2p1pnp1/8/2PP4/5QPP/r4PB1/Br2R1K1 w - - 0 32,13,0.052,
5bk1/3q1pp1/2p1pnp1/8/2PP4/5QPP/r4PB1/BR4K1 b - - 0 32,0,0,
5bk1/q4pp1/2p1pnp1/8/2PP4/5QPP/r4PB1/BR4K1 w - - 1 33,13,0.052,
5bk1/q4pp1/2p1pnp1/8/2PP4/6PP/r4PB1/BR1Q2K1 b - - 2 33,0,0,
5bk1/5pp1/q1p1pnp1/8/2PP4/6PP/r4PB1/BR1Q2K1 w - - 3 34,0,0,
5bk1/5pp1/q1p1pnp1/8/2PP4/6PP/r4PB1/BR3QK1 b - - 4 34,0,0,
5b2/5ppk/q1p1pnp1/8/2PP4/6PP/r4PB1/BR3QK1 w - - 5 35,35,0.14,
5b2/5ppk/q1p1pnp1/8/2PP4/2B3PP/r4PB1/1R3QK1 b - - 6 35,0,0,
5b2/5ppk/q1p1pnp1/8/2PP4/2B3PP/2r2PB1/1R3QK1 w - - 7 36,7,0.028,
5b2/5ppk/q1p1pnp1/8/2PP4/2B3PP/2r2PB1/R4QK1 b - - 8 36,0,0,
5b2/5ppk/1qp1pnp1/8/2PP4/2B3PP/2r2PB1/R4QK1 w - - 9 37,24,0.096,
5b2/5ppk/1qp1pnp1/8/2PP4/2B3PP/2r2PB1/1R3QK1 b - - 10 37,0,0,
rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 2,66,0.264,
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,49,0.196,
rnbqkb1r/pp1ppppp/5n2/2p5/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 3,19,0.076,
rnbqkb1r/p2ppppp/1p3n2/2p5/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 0 4,68,0.272,
rnbqkb1r/p2ppppp/1p3n2/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq - 1 4,17,0.068,
rn1qkb1r/pb1ppppp/1p3n2/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 2 5,78,0.312,
rn1qkb1r/pb1ppppp/1p3n2/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq - 3 5,23,0.092,
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq - 0 6,84,0.336,
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 b kq - 0 6,-30,-0.12,
rn1qk2r/pb1pbppp/1p2pn2/2p5/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 w kq - 1 7,45,0.18,
rn1qk2r/pb1pbppp/1p2pn2/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq - 2 7,-11,-0.044,
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - - 3 8,51,0.204,
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 b - - 0 8,-22,-0.088,
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 w - - 0 9,62,0.248,
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2P1P3/1P1P1NP1/PB3PBP/RN1Q1RK1 b - - 0 9,3,0.012,
r2q1rk1/pb1nbppp/1p1ppn2/2p5/2P1P3/1P1P1NP1/PB3PBP/RN1Q1RK1 w - - 1 10,108,0.432,
r2q1rk1/pb1nbppp/1p1ppn2/2p5/2P1P3/1P1P1NP1/PB2QPBP/RN3RK1 b - - 2 10,0,0,
r2q1rk1/1b1nbppp/pp1ppn2/2p5/2P1P3/1P1P1NP1/PB2QPBP/RN3RK1 w - - 0 11,97,0.388,
r2q1rk1/1b1nbppp/pp1ppn2/2p5/2P1P3/1PNP1NP1/PB2QPBP/R4RK1 b - - 1 11,45,0.18,
r4rk1/1bqnbppp/pp1ppn2/2p5/2P1P3/1PNP1NP1/PB2QPBP/R4RK1 w - - 2 12,117,0.468,
r4rk1/1bqnbppp/pp1ppn2/2p5/2P1P3/1PNP2P1/PB1NQPBP/R4RK1 b - - 3 12,-54,-0.216,
r3nrk1/1bqnbppp/pp1pp3/2p5/2P1P3/1PNP2P1/PB1NQPBP/R4RK1 w - - 4 13,76,0.304,
r3nrk1/1bqnbppp/pp1pp3/2p5/2P1PP2/1PNP2P1/PB1NQ1BP/R4RK1 b - - 0 13,0,0,
r3nrk1/1bqn1ppp/pp1ppb2/2p5/2P1PP2/1PNP2P1/PB1NQ1BP/R4RK1 w - - 1 14,75,0.3,
r3nrk1/1bqn1ppp/pp1ppb2/2p5/2P1PP2/1PNP1NP1/PB2Q1BP/R4RK1 b - - 2 14,13,0.052,
1r2nrk1/1bqn1ppp/pp1ppb2/2p5/2P1PP2/1PNP1NP1/PB2Q1BP/R4RK1 w - - 3 15,91,0.364,
1r2nrk1/1bqn1ppp/pp1ppb2/2p5/2P1PP2/1PNP1NP1/PB2Q1BP/R4R1K b - - 4 15,40,0.16,
br2nrk1/2qn1ppp/pp1ppb2/2p5/2P1PP2/1PNP1NP1/PB2Q1BP/R4R1K w - - 5 16,111,0.444,
br2nrk1/2qn1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/1B2Q1BP/R4R1K b - - 0 16,30,0.12,
br1qnrk1/3n1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/1B2Q1BP/R4R1K w - - 1 17,96,0.384,
br1qnrk1/3n1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/1B2Q1BP/3R1R1K b - - 2 17,27,0.108,
br2nrk1/2qn1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/1B2Q1BP/3R1R1K w - - 3 18,119,0.476,
br2nrk1/2qn1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/1B2Q1BP/2R2R1K b - - 4 18,32,0.128,
b1r1nrk1/2qn1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/1B2Q1BP/2R2R1K w - - 5 19,115,0.46,
b1r1nrk1/2qn1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/1B2Q1BP/2RR3K b - - 6 19,13,0.052,
b1r1nrk1/q2n1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/1B2Q1BP/2RR3K w - - 7 20,118,0.472,
b1r1nrk1/q2n1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/4Q1BP/B1RR3K b - - 8 20,36,0.144,
b1r2rk1/q1nn1ppp/pp1ppb2/2p5/P1P1PP2/1PNP1NP1/4Q1BP/B1RR3K w - - 9 21,95,0.38,
b1r2rk1/q1nn1ppp/pp1ppb2/2p5/P1P1PPP1/1PNP1N2/4Q1BP/B1RR3K b - - 0 21,21,0.084,
b1r1r1k1/q1nn1ppp/pp1ppb2/2p5/P1P1PPP1/1PNP1N2/4Q1BP/B1RR3K w - - 1 22,90,0.36,
b1r1r1k1/q1nn1ppp/pp1ppb2/2p3P1/P1P1PP2/1PNP1N2/4Q1BP/B1RR3K b - - 0 22,66,0.264,
b1r1r1k1/q1nnbppp/pp1pp3/2p3P1/P1P1PP2/1PNP1N2/4Q1BP/B1RR3K w - - 1 23,129,0.516,
b1r1r1k1/q1nnbppp/pp1pp3/2p3P1/P1PPPP2/1PN2N2/4Q1BP/B1RR3K b - - 0 23,87,0.348,
b1r1r1k1/q1nnbppp/pp1pp3/6P1/P1PpPP2/1PN2N2/4Q1BP/B1RR3K w - - 0 24,115,0.46,
b1r1r1k1/q1nnbppp/pp1pp3/6P1/P1PNPP2/1PN5/4Q1BP/B1RR3K b - - 0 24,90,0.36,
b1r1r1k1/q1nnbppp/pp1p4/4p1P1/P1PNPP2/1PN5/4Q1BP/B1RR3K w - - 0 25,153,0.612,
b1r1r1k1/q1nnbppp/pp1p4/4pNP1/P1P1PP2/1PN5/4Q1BP/B1RR3K b - - 1 25,100,0.4,
b1r1r1k1/q2nbppp/pp1pn3/4pNP1/P1P1PP2/1PN5/4Q1BP/B1RR3K w - - 2 26,123,0.492,
b1r1r1k1/q2nbppp/pp1pn3/4pNP1/P1P1PP2/1PN5/4Q1BP/B1R2R1K b - - 3 26,53,0.212,
b1r1rbk1/q2n1ppp/pp1pn3/4pNP1/P1P1PP2/1PN5/4Q1BP/B1R2R1K w - - 4 27,157,0.628,
b1r1rbk1/q2n1ppp/pp1pn3/4pNP1/P1P1PPQ1/1PN5/6BP/B1R2R1K b - - 5 27,-42,-0.168,
b1r1rb1k/q2n1ppp/pp1pn3/4pNP1/P1P1PPQ1/1PN5/6BP/B1R2R1K w - - 6 28,217,0.868,
b1r1rb1k/q2n1ppp/pp1pn3/4PNP1/P1P1P1Q1/1PN5/6BP/B1R2R1K b - - 0 28,151,0.604,
b1r1rb1k/q4ppp/pp1pn3/4nNP1/P1P1P1Q1/1PN5/6BP/B1R2R1K w - - 0 29,209,0.836,
b1r1rb1k/q4ppp/pp1pn3/4nNP1/P1P1P3/1PN3Q1/6BP/B1R2R1K b - - 1 29,178,0.712,
b1r1rb1k/q4ppp/pp1p4/2n1nNP1/P1P1P3/1PN3Q1/6BP/B1R2R1K w - - 2 30,256,1.024,
b1r1rb1k/q4ppp/pp1p4/2n1nNP1/P1P1P3/1PN3Q1/6BP/BR3R1K b - - 3 30,151,0.604,
bqr1rb1k/5ppp/pp1p4/2n1nNP1/P1P1P3/1PN3Q1/6BP/BR3R1K w - - 4 31,298,1.192,
bqr1rb1k/5ppp/pp1p4/2nNnNP1/P1P1P3/1P4Q1/6BP/BR3R1K b - - 5 31,184,0.736,
bqr1rb1k/5ppp/p2p4/1pnNnNP1/P1P1P3/1P4Q1/6BP/BR3R1K w - - 0 32,211,0.844,
bqr1rb1k/5ppp/p2p4/1PnNnNP1/P3P3/1P4Q1/6BP/BR3R1K b - - 0 32,168,0.672,
bqr1rb1k/5ppp/3p4/1pnNnNP1/P3P3/1P4Q1/6BP/BR3R1K w - - 0 33,227,0.908,
bqr1rb1k/5ppp/3p4/PpnNnNP1/4P3/1P4Q1/6BP/BR3R1K b - - 0 33,128,0.512,
bqr1rb1k/5ppp/3p4/P1nNnNP1/1p2P3/1P4Q1/6BP/BR3R1K w - - 0 34,153,0.612,
bqr1rb1k/5ppp/3p4/P1nNnNP1/1p2PQ2/1P6/6BP/BR3R1K b - - 1 34,27,0.108,
b1r1rb1k/5ppp/3p4/PqnNnNP1/1p2PQ2/1P6/6BP/BR3R1K w - - 2 35,139,0.556,
b1r1rb1k/5ppp/3p3N/PqnNn1P1/1p2PQ2/1P6/6BP/BR3R1K b - - 3 35,-75,-0.3,
2r1rb1k/5ppp/3p3N/Pqnbn1P1/1p2PQ2/1P6/6BP/BR3R1K w - - 0 36,0,0,
2r1rb1k/5ppp/3p3N/PqnbB1P1/1p2PQ2/1P6/6BP/1R3R1K b - - 0 36,-550,-2.2,
2r1rb1k/5ppp/7N/Pqnbp1P1/1p2PQ2/1P6/6BP/1R3R1K w - - 0 37,-499,-1.996,
2r1rb1k/5Npp/8/Pqnbp1P1/1p2PQ2/1P6/6BP/1R3R1K b - - 0 37,-518,-2.072,
2r1rb1k/5bpp/8/Pqn1p1P1/1p2PQ2/1P6/6BP/1R3R1K w - - 0 38,-444,-1.776,
2r1rb1k/5Qpp/8/Pqn1p1P1/1p2P3/1P6/6BP/1R3R1K b - - 0 38,-544,-2.176,
2r1rb1k/1q3Qpp/8/P1n1p1P1/1p2P3/1P6/6BP/1R3R1K w - - 1 39,-376,-1.504,
2r1rb1k/1q4pp/8/P1n1p1PQ/1p2P3/1P6/6BP/1R3R1K b - - 2 39,-561,-2.244,
2r1rb1k/1q5p/6p1/P1n1p1PQ/1p2P3/1P6/6BP/1R3R1K w - - 0 40,-483,-1.932,
2r1rb1k/1q5p/6p1/P1n1p1P1/1p2P1Q1/1P6/6BP/1R3R1K b - - 1 40,-584,-2.336,
r3rb1k/1q5p/6p1/P1n1p1P1/1p2P1Q1/1P6/6BP/1R3R1K w - - 2 41,-482,-1.928,
rnbqkb1r/pppp1ppp/4pn2/8/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,-37,-0.148,
rnbqkb1r/p1pp1ppp/1p2pn2/8/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 0 4,71,0.284,
rnbqkb1r/p1pp1ppp/1p2pn2/8/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 1 4,13,0.052,
rn1qkb1r/pbpp1ppp/1p2pn2/8/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 2 5,53,0.212,
rn1qkb1r/pbpp1ppp/1p2pn2/8/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq - 3 5,-35,-0.14,
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq - 0 6,70,0.28,
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 0 6,-10,-0.04,
rn1qkb1r/pb1p1ppp/1p2pn2/8/2Pp4/5NP1/PP2PPBP/RNBQ1RK1 w kq - 0 7,46,0.184,
rn1qkb1r/pb1p1ppp/1p2pn2/8/2PN4/6P1/PP2PPBP/RNBQ1RK1 b kq - 0 7,-3,-0.012,
rn1qkb1r/p2p1ppp/1p2pn2/8/2PN4/6P1/PP2PPbP/RNBQ1RK1 w kq - 0 8,67,0.268,
rn1qkb1r/p2p1ppp/1p2pn2/8/2PN4/6P1/PP2PPKP/RNBQ1R2 b kq - 0 8,0,0,
r2qkb1r/pp2pppp/2n5/3n4/3P2b1/2N2N2/PP3PPP/R1BQKB1R w KQkq - 3 8,49,0.196,
r2qkb1r/pp2pppp/2n5/3n4/3P2b1/1QN2N2/PP3PPP/R1B1KB1R b KQkq - 4 8,0,0,
r2qkb1r/pp2pppp/2n5/3n4/3P4/1QN2b2/PP3PPP/R1B1KB1R w KQkq - 0 9,46,0.184,
r2qkb1r/pp2pppp/2n5/3n4/3P4/1QN2P2/PP3P1P/R1B1KB1R b KQkq - 0 9,0,0,
r2qkb1r/pp3ppp/2n1p3/3n4/3P4/1QN2P2/PP3P1P/R1B1KB1R w KQkq - 0 10,50,0.2,
r2qkb1r/pQ3ppp/2n1p3/3n4/3P4/2N2P2/PP3P1P/R1B1KB1R b KQkq - 0 10,0,0,
r2qkb1r/pQ3ppp/4p3/3n4/3n4/2N2P2/PP3P1P/R1B1KB1R w KQkq - 0 11,37,0.148,
r2qkb1r/pQ3ppp/4p3/1B1n4/3n4/2N2P2/PP3P1P/R1B1K2R b KQkq - 1 11,-11,-0.044,
r2qkb1r/pQ3ppp/4p3/1n1n4/8/2N2P2/PP3P1P/R1B1K2R w KQkq - 0 12,7,0.028,
r2qkb1r/p4ppp/2Q1p3/1n1n4/8/2N2P2/PP3P1P/R1B1K2R b KQkq - 1 12,0,0,
r2q1b1r/p3kppp/2Q1p3/1n1n4/8/2N2P2/PP3P1P/R1B1K2R w KQ - 2 13,47,0.188,
r2q1b1r/p3kppp/4p3/1Q1n4/8/2N2P2/PP3P1P/R1B1K2R b KQ - 0 13,0,0,
r4b1r/p2qkppp/4p3/1Q1n4/8/2N2P2/PP3P1P/R1B1K2R w KQ - 1 14,48,0.192,
r4b1r/p2qkppp/4p3/1Q1N4/8/5P2/PP3P1P/R1B1K2R b KQ - 0 14,0,0,
r4b1r/p3kppp/4p3/1Q1q4/8/5P2/PP3P1P/R1B1K2R w KQ - 0 15,53,0.212,
r4b1r/p3kppp/4p3/3Q4/8/5P2/PP3P1P/R1B1K2R b KQ - 0 15,-6,-0.024,
r4b1r/p3kppp/8/3p4/8/5P2/PP3P1P/R1B1K2R w KQ - 0 16,58,0.232,
r4b1r/p3kppp/8/3p4/8/4BP2/PP3P1P/R3K2R b KQ - 1 16,0,0,
r4b1r/p4ppp/4k3/3p4/8/4BP2/PP3P1P/R3K2R w KQ - 2 17,0,0,
r4b1r/p4ppp/4k3/3p4/8/4BP2/PP3P1P/R3K1R1 b Q - 3 17,-21,-0.084,
r6r/p4ppp/3bk3/3p4/8/4BP2/PP3P1P/R3K1R1 w Q - 4 18,74,0.296,
r6r/p4pRp/3bk3/3p4/8/4BP2/PP3P1P/R3K3 b Q - 0 18,-4,-0.016,
r6r/p4pRp/4k3/3pb3/8/4BP2/PP3P1P/R3K3 w Q - 1 19,0,0,
r6r/p4p1p/4k3/3pb3/6R1/4BP2/PP3P1P/R3K3 b Q - 2 19,13,0.052,
r6r/p4p1p/4k3/3p4/6R1/4BP2/Pb3P1P/R3K3 w Q - 0 20,13,0.052,
r6r/p4p1p/4k3/3p4/6R1/4BP2/Pb3P1P/1R2K3 b - - 1 20,0,0,
rr6/p4p1p/4k3/3p4/6R1/4BP2/Pb3P1P/1R2K3 w - - 2 21,29,0.116,
rr6/p4p1p/4k3/3p4/6R1/4BP2/Pb3P1P/1R3K2 b - - 3 21,0,0,
rr6/p4p1p/4k3/3pb3/6R1/4BP2/P4P1P/1R3K2 w - - 4 22,38,0.152,
rr6/p4p1p/4k3/3pb3/6R1/4BP2/P4P1P/4RK2 b - - 5 22,0,0,
rr6/p4p1p/3k4/3pb3/6R1/4BP2/P4P1P/4RK2 w - - 6 23,80,0.32,
rr6/p4p1p/3k4/3pb3/6R1/5P2/P4P1P/2B1RK2 b - - 7 23,66,0.264,
r3r3/p4p1p/3k4/3pb3/6R1/5P2/P4P1P/2B1RK2 w - - 8 24,103,0.412,
r3r3/p4p1p/3k4/3pb3/6R1/B4P2/P4P1P/4RK2 b - - 9 24,52,0.208,
r3r3/p2k1p1p/8/3pb3/6R1/B4P2/P4P1P/4RK2 w - - 10 25,90,0.36,
r3r3/p2k1p1p/8/3pb1R1/8/B4P2/P4P1P/4RK2 b - - 11 25,40,0.16,
r3r3/p2k3p/5p2/3pb1R1/8/B4P2/P4P1P/4RK2 w - - 0 26,79,0.316,
r3r3/p2k2Rp/5p2/3pb3/8/B4P2/P4P1P/4RK2 b - - 1 26,62,0.248,
r3r3/p5Rp/2k2p2/3pb3/8/B4P2/P4P1P/4RK2 w - - 2 27,91,0.364,
r3r3/p5Rp/2k2p2/3pb3/8/B4P2/P4P1P/2R2K2 b - - 3 27,80,0.32,
r3r3/p5Rp/1k3p2/3pb3/8/B4P2/P4P1P/2R2K2 w - - 4 28,83,0.332,
r3r3/p5Rp/1k3p2/2Bpb3/8/5P2/P4P1P/2R2K2 b - - 5 28,84,0.336,
r3r3/p5Rp/k4p2/2Bpb3/8/5P2/P4P1P/2R2K2 w - - 6 29,103,0.412,
r3r3/p5Rp/k4p2/2Bpb3/5P2/8/P4P1P/2R2K2 b - - 0 29,26,0.104,
r3r3/p5Rp/k4p2/2Bp4/5b2/8/P4P1P/2R2K2 w - - 0 30,76,0.304,
r3r3/p5Rp/k4p2/2Bp4/5b2/2R5/P4P1P/5K2 b - - 1 30,-18,-0.072,
r1r5/p5Rp/k4p2/2Bp4/5b2/2R5/P4P1P/5K2 w - - 2 31,0,0,
r1r5/p6R/k4p2/2Bp4/5b2/2R5/P4P1P/5K2 b - - 0 31,0,0,
r1r5/p6R/k4p2/2Bpb3/8/2R5/P4P1P/5K2 w - - 1 32,0,0,
r1r5/p6R/k4p2/2Bpb3/8/R7/P4P1P/5K2 b - - 2 32,-41,-0.164,
r1r5/p6R/5p2/1kBpb3/8/R7/P4P1P/5K2 w - - 3 33,0,0,
r1r5/B6R/5p2/1k1pb3/8/R7/P4P1P/5K2 b - - 0 33,-23,-0.092,
r7/B1r4R/5p2/1k1pb3/8/R7/P4P1P/5K2 w - - 1 34,21,0.084,
r7/B1r4R/5p2/1k1pb3/8/1R6/P4P1P/5K2 b - - 2 34,-73,-0.292,
r7/B1r4R/5p2/3pb3/2k5/1R6/P4P1P/5K2 w - - 3 35,-27,-0.108,
r7/B1R5/5p2/3pb3/2k5/1R6/P4P1P/5K2 b - - 0 35,-87,-0.348,
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PPQ1PPPP/R1B1KBNR b KQkq - 3 4,-23,-0.092,
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/2N5/PPQ1PPPP/R1B1KBNR w KQkq - 0 5,64,0.256,
rnbqk2r/pp1p1ppp/4pn2/2P5/1bP5/2N5/PPQ1PPPP/R1B1KBNR b KQkq - 0 5,8,0.032,
r1bqk2r/pp1p1ppp/2n1pn2/2P5/1bP5/2N5/PPQ1PPPP/R1B1KBNR w KQkq - 1 6,95,0.38,
r1bqk2r/pp1p1ppp/2n1pn2/2P5/1bP5/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq - 2 6,41,0.164,
r1bqk2r/pp1p1ppp/2n1pn2/2b5/2P5/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq - 0 7,74,0.296,
r1bqk2r/pp1p1ppp/2n1pn2/2b3B1/2P5/2N2N2/PPQ1PPPP/R3KB1R b KQkq - 1 7,27,0.108,
r1bqk2r/pp1p1pp1/2n1pn1p/2b3B1/2P5/2N2N2/PPQ1PPPP/R3KB1R w KQkq - 0 8,94,0.376,
r1bqk2r/pp1p1pp1/2n1pn1p/2b5/2P4B/2N2N2/PPQ1PPPP/R3KB1R b KQkq - 1 8,32,0.128,
r1bqk2r/1p1p1pp1/p1n1pn1p/2b5/2P4B/2N2N2/PPQ1PPPP/R3KB1R w KQkq - 0 9,92,0.368,
r1bqk2r/1p1p1pp1/p1n1pn1p/2b5/2P4B/2N1PN2/PPQ2PPP/R3KB1R b KQkq - 0 9,27,0.108,
r1bqk2r/3p1pp1/ppn1pn1p/2b5/2P4B/2N1PN2/PPQ2PPP/R3KB1R w KQkq - 0 10,83,0.332,
r1bqk2r/3p1pp1/ppn1pn1p/2b5/2P4B/2N1PN2/PPQ2PPP/3RKB1R b Kkq - 1 10,21,0.084,
r2qk2r/1b1p1pp1/ppn1pn1p/2b5/2P4B/2N1PN2/PPQ2PPP/3RKB1R w Kkq - 2 11,56,0.224,
r2qk2r/1b1p1pp1/ppn1pn1p/2b5/2P4B/P1N1PN2/1PQ2PPP/3RKB1R b Kkq - 0 11,28,0.112,
